Position,Name,Time,Category (POS),Gender (POS),Swim,T1,Cycle,T2,Run
DNF,Mohd Sahidan MAHYUDIN (#1924),8:48:34,40-44 ,Male ,1:02:50,0:07:41,4:03:42,0:04:58,3:29:21
DNF,Faisal Tan MOHD AMIN (#1658),,35-39 ,Male ,0:53:57,0:08:56,5:01:25,0:04:51,3:26:39
DNF,Nazri AHMAD ZAMANI (#1931),,40-44 ,Male ,0:48:05,0:06:15,4:38:30,0:04:47,4:13:48
DNF,Roshan Babu BALAKRISHNAN (#1517),8:35:59,30-34 ,Male ,0:45:22,0:07:07,4:13:19,0:04:42,3:25:26
DNF,Muhammad Syakir CHE MANSOR (#1553),9:06:25,30-34 ,Male ,0:49:00,0:10:24,4:27:45,0:04:30,3:34:44
DNF,Phuong THACH (#1489),,25-29 ,Female ,1:02:25,0:10:39,4:40:34,0:04:29,
DNF,Olivier FLEUROT (#2281),,50-54 ,Male ,0:38:47,0:05:12,3:38:14,0:04:11,
DNF,Mohamad Faizul MESNI (#2419),8:16:42,25-29 ,Male ,1:16:46,0:08:18,3:34:18,0:04:11,3:13:08
DNF,Asami SHOTANI (#1654),8:39:06,30-34 ,Female ,0:51:37,0:13:20,4:19:09,0:04:06,3:10:52
DNF,Stevi Monalisa CORNELLIA (#2070),,40-44 ,Female ,0:52:02,0:06:57,4:41:31,0:03:51,3:57:12
DNF,Pierre TERLINDEN-RUHL (#1416),,18-24 ,Male ,0:31:58,0:03:30,3:27:37,0:03:43,
DNF,Idzuan Azdy ZAINAL ABIDIN (#1727),7:01:30,35-39 ,Male ,0:52:31,0:07:06,3:44:04,0:03:35,2:14:13
DNF,Jason KONG (#2018),8:53:13,40-44 ,Male ,0:49:14,0:24:39,4:10:46,0:03:33,3:25:00
DNF,Fury DJUPIKAR (#1468),7:02:55,25-29 ,Male ,1:10:08,0:04:02,3:19:12,0:03:23,2:26:08
DNF,Anak KARIM (#2052),,40-44 ,Female ,1:17:48,0:05:04,4:36:27,0:03:17,
DNF,Zaki ANHAR (#1706),,35-39 ,Male ,0:55:43,0:07:16,4:56:40,0:03:13,3:33:09
DNF,Luong NGUYEN (#1458),8:41:03,25-29 ,Male ,1:00:38,0:09:57,4:09:09,0:02:37,3:18:40
DNF,Ade NURCAHYO (#1934),,40-44 ,Male ,0:54:35,0:15:23,5:12:54,0:09:35,
FIN,Martin HAUSKE (#2201),6:44:26,45-49 ,Male ,0:39:33,0:07:42,3:08:58,0:15:29,2:32:42
FIN,Ahmad Zaki NASRUDDIN (#1897),8:04:04,40-44 ,Male ,0:51:37,0:08:33,3:19:18,0:14:00,3:30:34
FIN,Jonathan SELISANA (#1974),8:09:33,40-44 ,Male ,0:54:36,0:09:55,3:48:43,0:12:04,3:04:13
FIN,Yap TERNG HORNG (#1860),8:13:38,40-44 ,Male ,0:41:26,0:08:46,3:32:39,0:11:23,3:39:23
FIN,Akiko UEHARA (#2260),7:29:39,45-49 ,Female ,0:47:53,0:12:12,3:33:52,0:10:57,2:44:43
FIN,Kanji KONDO (#2220),7:05:24,45-49 ,Male ,0:44:23,0:11:36,3:11:56,0:10:55,2:46:31
FIN,Chon Hsing NG (#2212),7:52:13,45-49 ,Male ,0:47:34,0:14:01,3:46:54,0:10:51,2:52:52
FIN,Kok Meng NG (#2120),7:05:18,45-49 ,Male ,0:46:57,0:10:09,3:18:08,0:10:48,2:39:14
FIN,Chan SENG LOON (#2286),8:06:17,50-54 ,Male ,0:54:03,0:17:14,3:30:55,0:09:47,3:14:16
FIN,Anurag KOHLI (#2173),7:12:08,45-49 ,Male ,0:43:00,0:12:32,3:32:31,0:09:32,2:34:32
FIN,Vaibhav SHAH (#1584),7:55:28,30-34 ,Male ,0:49:54,0:12:16,4:02:15,0:09:31,2:41:30
FIN,Sparsh DEEP SINGH (#1580),8:19:57,30-34 ,Male ,1:08:14,0:08:38,3:46:29,0:09:22,3:07:12
FIN,Mayuko OKADA (#1857),7:18:49,35-39 ,Female ,0:41:32,0:13:24,3:46:59,0:08:46,2:28:06
FIN,Victor LEE (#2160),7:21:49,45-49 ,Male ,0:46:09,0:09:47,3:39:18,0:08:40,2:37:52
FIN,Hairizar HAKIMI (#2278),7:35:57,50-54 ,Male ,0:49:35,0:10:23,3:07:23,0:08:38,3:19:55
FIN,Deepak SAMTANI (#2206),8:02:50,45-49 ,Male ,0:49:22,0:08:23,3:45:00,0:08:34,3:11:29
FIN,Boon Hoe ONG (#1960),7:24:22,40-44 ,Male ,0:59:38,0:13:33,3:36:39,0:08:34,2:25:58
FIN,Kok Kwan YEW (#2154),7:24:18,45-49 ,Male ,0:46:34,0:11:40,3:19:35,0:08:30,2:57:58
FIN,Gregoire ROCHON (#1732),6:44:12,35-39 ,Male ,0:44:08,0:09:51,3:00:50,0:08:25,2:40:55
FIN,Nur Faridh NOOR MOHAMAD (#2290),7:27:15,50-54 ,Male ,0:53:20,0:11:57,3:25:47,0:08:19,2:47:51
FIN,Deswyn WAN (#1574),6:47:26,30-34 ,Male ,0:47:27,0:07:12,3:11:30,0:08:18,2:32:58
FIN,José Alberto SILVA LOPES (#1594),7:01:51,30-34 ,Male ,0:45:08,0:16:48,3:30:19,0:08:16,2:21:18
FIN,Ting Ling GOAY (#1832),7:50:00,35-39 ,Female ,0:56:27,0:11:46,3:51:08,0:08:15,2:42:22
FIN,Vitor Bernardo OLIVEIRA TAVARES (#1769),7:01:52,35-39 ,Male ,0:51:03,0:10:56,3:30:18,0:08:15,2:21:19
FIN,Michael DRACHMANN (#2195),8:07:09,45-49 ,Male ,0:40:36,0:06:45,3:56:19,0:08:14,3:15:14
FIN,Muhammad Husni HJ IBRAHIM (#2144),8:26:32,45-49 ,Male ,0:45:07,0:07:24,3:43:42,0:08:09,3:42:08
FIN,Chin CHEE HOWE (#2379),8:21:19,60-64 ,Male ,0:51:43,0:13:17,3:45:59,0:08:07,3:22:12
FIN,Arobu Oki (#2318),7:44:36,50-54 ,Male ,0:52:18,0:11:35,3:40:52,0:08:05,2:51:44
FIN,Desmond FOO (#1513),6:38:51,30-34 ,Male ,0:59:17,0:10:36,2:56:47,0:08:03,2:24:06
FIN,Ryan CARROLL (#1771),7:11:14,35-39 ,Male ,0:43:43,0:06:38,3:12:03,0:08:03,3:00:45
FIN,Jerry WAN (#2354),7:37:33,55-59 ,Male ,0:45:55,0:09:37,3:51:01,0:08:02,2:42:55
FIN,Lim BOON CHIANG (#1971),7:55:18,40-44 ,Male ,0:44:02,0:08:03,3:48:09,0:08:02,3:07:00
FIN,Yong Fook WOON (#2275),7:30:13,50-54 ,Male ,0:46:55,0:11:12,3:17:34,0:07:59,3:06:32
FIN,Vitalii CHAIKA (#1767),7:11:00,35-39 ,Male ,0:38:24,0:08:18,3:27:13,0:07:53,2:49:10
FIN,Razman RAHIM (#1785),7:33:49,35-39 ,Male ,1:08:50,0:06:18,3:16:08,0:07:46,2:54:45
FIN,Canh LE MINH (#1611),8:25:10,30-34 ,Male ,0:51:03,0:10:59,3:39:39,0:07:42,3:35:44
FIN,Ahmad Shahzi AHMAD (#2111),8:12:38,45-49 ,Male ,0:51:40,0:09:33,3:35:45,0:07:39,3:28:00
FIN,Enrico BALMELLI (#2302),6:59:52,50-54 ,Male ,0:46:25,0:05:57,3:22:07,0:07:35,2:37:47
FIN,Mohd Azizi Iskandar MD ALI (#1870),7:29:06,40-44 ,Male ,0:44:09,0:10:04,3:15:51,0:07:29,3:11:31
FIN,Richard NAVO (#1886),8:07:12,40-44 ,Male ,0:47:07,0:07:30,3:58:31,0:07:28,3:06:33
FIN,Husher Lai THAI CHUN (#1506),6:47:45,30-34 ,Male ,0:50:39,0:08:16,2:57:27,0:07:27,2:43:54
FIN,Kharaini MOHAIMIN (#1531),6:44:24,30-34 ,Male ,0:46:27,0:07:22,2:55:37,0:07:18,2:47:38
FIN,Chang LEANHOCK (#2383),7:34:00,60-64 ,Male ,0:55:27,0:12:04,3:26:32,0:07:15,2:52:39
FIN,Kin Fai MA (#2174),7:13:08,45-49 ,Male ,0:35:05,0:10:32,3:32:47,0:07:15,2:47:27
FIN,Thin Chee LEONG (#2349),7:03:27,55-59 ,Male ,0:51:49,0:07:56,3:16:35,0:07:12,2:39:53
FIN,Kohan TJOKROARDI (#2322),7:44:42,50-54 ,Male ,0:52:32,0:09:46,3:35:41,0:07:10,2:59:32
FIN,Goh LIAN BOON (#2039),6:37:40,40-44 ,Male ,0:54:03,0:10:52,3:31:11,0:07:10,1:54:23
FIN,Wen KHOO (#1432),7:15:05,25-29 ,Male ,0:43:15,0:08:31,3:22:57,0:07:09,2:53:11
FIN,Hiroya OTA (#2196),7:27:06,45-49 ,Male ,0:54:41,0:06:47,3:38:05,0:07:09,2:40:22
FIN,Adrian PANG (#1535),7:00:35,30-34 ,Male ,0:37:13,0:06:32,3:20:41,0:07:09,2:48:59
FIN,Mohammad Asyraf SHAHRIL (#1503),7:27:50,30-34 ,Male ,0:46:52,0:07:29,3:24:25,0:07:09,3:01:54
FIN,Boon Hoong TAN (#1925),8:06:09,40-44 ,Male ,0:48:52,0:06:57,3:40:03,0:07:08,3:23:08
FIN,Adli Azam MOHAMMAD RAZI (#1961),7:25:33,40-44 ,Male ,0:47:45,0:07:56,3:21:15,0:07:05,3:01:30
FIN,Thomas MAIER (#1499),6:33:01,30-34 ,Male ,0:36:34,0:09:25,3:27:48,0:07:04,2:12:08
FIN,Teguh YULIANTO (#2198),7:19:43,45-49 ,Male ,0:39:28,0:08:12,3:10:28,0:07:02,3:14:31
FIN,Chee How LOONG (#1981),6:33:04,40-44 ,Male ,0:46:11,0:08:05,3:25:38,0:06:59,2:06:09
FIN,Olga GORDEEVA (#1850),6:54:46,35-39 ,Female ,0:47:15,0:07:36,3:25:30,0:06:55,2:27:28
FIN,?? ?? (#2104),7:56:29,45-49 ,Male ,0:57:32,0:09:57,3:46:00,0:06:55,2:56:02
FIN,Christian GRAY (#2040),7:17:43,40-44 ,Male ,0:40:16,0:07:42,3:33:59,0:06:54,2:48:50
FIN,Boon Hin ONG (#2385),7:52:10,60-64 ,Male ,0:45:39,0:08:40,3:31:22,0:06:54,3:19:32
FIN,Tony KURNIAWAN (#2013),6:27:36,40-44 ,Male ,0:47:33,0:10:06,3:01:54,0:06:54,2:21:07
FIN,Zhenzhi TAN (#1752),7:07:33,35-39 ,Male ,0:41:32,0:09:38,3:36:24,0:06:51,2:33:06
FIN,Natalie WILKINSON (#2374),7:21:25,55-59 ,Female ,0:35:22,0:08:11,3:39:24,0:06:50,2:51:36
FIN,Kimberley DITTRICH (#2398),7:51:24,60-64 ,Female ,0:48:57,0:08:53,3:33:13,0:06:50,3:13:28
FIN,Alvin ANG (#1999),7:33:20,40-44 ,Male ,0:56:46,0:10:08,3:21:52,0:06:50,2:57:41
FIN,Bibash BHAGAWATI (#2194),7:59:18,45-49 ,Male ,0:50:08,0:07:27,3:41:27,0:06:49,3:13:25
FIN,Taiji HATANAKA (#2421),8:06:42,60-64 ,Male ,0:54:50,0:08:42,3:48:21,0:06:49,3:07:59
FIN,Kadir PETER (#1876),7:37:21,40-44 ,Male ,0:49:53,0:09:36,3:17:23,0:06:48,3:13:39
FIN,Loh CHIA GIN (#1530),7:12:29,30-34 ,Male ,0:51:21,0:08:01,3:28:01,0:06:47,2:38:18
FIN,Edwin ARIEF (#1514),7:05:08,30-34 ,Male ,0:48:22,0:11:08,3:20:33,0:06:47,2:38:16
FIN,Aj LAYSON (#2416),7:09:11,30-34 ,Male ,0:49:22,0:18:11,3:36:56,0:06:43,2:17:57
FIN,Viney HORA (#1942),6:54:13,40-44 ,Male ,0:52:55,0:06:59,3:16:36,0:06:43,2:30:57
FIN,Amitabh DUTTA (#2197),8:06:55,45-49 ,Male ,0:54:34,0:08:44,4:00:09,0:06:41,2:56:45
FIN,Terukazu SHIBATA (#2384),7:39:07,60-64 ,Male ,0:47:19,0:09:53,3:39:01,0:06:41,2:56:10
FIN,Thi NGUYEN (#1471),7:58:52,25-29 ,Male ,0:49:52,0:10:13,3:41:02,0:06:41,3:11:03
FIN,Kohji MAEDA (#2112),7:17:23,45-49 ,Male ,0:40:07,0:06:16,3:32:55,0:06:40,2:51:22
FIN,Albertus Aryo WICAKSONO (#1670),8:12:15,35-39 ,Male ,0:52:06,0:08:02,3:49:27,0:06:40,3:15:58
FIN,Pranil BHOITE (#1559),6:39:03,30-34 ,Male ,0:43:02,0:09:21,3:14:16,0:06:39,2:25:43
FIN,Young MING SHAN (#2118),7:10:08,45-49 ,Male ,0:48:16,0:08:51,3:21:22,0:06:39,2:44:57
FIN,Muhammad Syafiq MD SARIF (#1692),7:08:36,35-39 ,Male ,0:58:09,0:11:44,3:04:19,0:06:38,2:47:43
FIN,Jianjun XIE (#2418),6:48:40,45-49 ,Male ,0:44:31,0:06:17,3:19:55,0:06:38,2:31:17
FIN,Brijesh RATNANI (#1425),6:44:42,25-29 ,Male ,0:44:40,0:09:15,2:53:56,0:06:34,2:50:14
FIN,Leilani Marie TAN (#2252),7:05:56,45-49 ,Female ,0:48:37,0:07:27,3:22:07,0:06:32,2:41:12
FIN,Wassana JONGTA (#1634),7:27:33,30-34 ,Female ,0:55:05,0:09:49,3:26:02,0:06:27,2:50:08
FIN,Gerhard OTT (#1894),7:12:52,40-44 ,Male ,0:49:44,0:09:03,3:08:00,0:06:27,2:59:36
FIN,Tanza Dwi Jaka Utama WARGANEGARA (#2132),7:17:25,45-49 ,Male ,0:42:55,0:08:37,3:30:28,0:06:24,2:48:58
FIN,Adi RIYADI (#1932),7:42:36,40-44 ,Male ,0:38:49,0:09:10,3:33:32,0:06:22,3:14:42
FIN,Wolfgang AMANN (#2150),7:30:59,45-49 ,Male ,0:38:41,0:09:14,3:36:20,0:06:22,3:00:21
FIN,Phan THI THU NGUYET (#2375),7:45:49,55-59 ,Female ,0:47:26,0:05:54,3:42:16,0:06:20,3:03:50
FIN,Akihiro KUSUDA (#1597),8:05:57,30-34 ,Male ,0:54:28,0:12:35,3:41:23,0:06:20,3:11:08
FIN,Suet Ling FOO (#2056),8:19:07,40-44 ,Female ,1:00:19,0:10:37,3:49:07,0:06:18,3:12:44
FIN,Ram TOH (#2238),6:33:17,45-49 ,Male ,0:42:35,0:07:25,3:16:57,0:06:15,2:20:03
FIN,Chan Fai TAM (#2287),6:53:26,50-54 ,Male ,0:49:24,0:09:05,3:00:46,0:06:14,2:47:55
FIN,Binwen HUANG (#1820),7:54:58,35-39 ,Male ,0:52:19,0:07:37,3:47:52,0:06:14,3:00:55
FIN,Peter TAM (#2187),6:51:22,45-49 ,Male ,0:43:20,0:07:27,3:12:59,0:06:14,2:41:20
FIN,Prakash BASUMATARY (#2166),7:08:19,45-49 ,Male ,0:43:06,0:10:18,3:15:24,0:06:13,2:53:16
FIN,Pramod KUCHEKAR (#2320),8:06:45,50-54 ,Male ,1:00:20,0:08:56,3:54:24,0:06:12,2:56:52
FIN,Shoji NAKANO (#2407),8:06:41,75-79 ,Male ,0:43:44,0:10:57,3:28:08,0:06:08,3:37:41
FIN,Min YANG (#1495),6:55:41,25-29 ,Female ,0:39:47,0:10:34,3:34:40,0:06:08,2:24:31
FIN,Saburo ARAKAWA (#2382),7:25:17,60-64 ,Male ,0:36:10,0:09:35,3:23:08,0:06:06,3:10:15
FIN,Mohd Syafarim MD ISHAK (#1746),6:36:30,35-39 ,Male ,0:48:22,0:07:55,2:58:51,0:06:06,2:35:14
FIN,Jack TAN (#2289),7:23:39,50-54 ,Male ,0:47:15,0:11:18,3:18:12,0:06:06,3:00:47
FIN,Nobuhiko NISHIOKA (#2300),7:04:20,50-54 ,Male ,1:02:48,0:10:53,3:09:41,0:06:02,2:34:53
FIN,Khairul Anwar SALLEH (#2297),7:23:27,50-54 ,Male ,0:56:41,0:08:07,3:22:25,0:06:02,2:50:11
FIN,David Loi CHANG YEOW (#2193),6:56:53,45-49 ,Male ,0:44:22,0:08:20,3:18:02,0:06:02,2:40:06
FIN,Rommy BASTIAN (#2095),7:15:35,45-49 ,Male ,0:58:36,0:11:04,3:26:41,0:06:01,2:33:12
FIN,Hemal UPADHYAY (#1753),7:43:15,35-39 ,Male ,0:49:21,0:10:59,3:33:05,0:06:00,3:03:48
FIN,Mimiwati ZAHARI (#2343),7:36:47,50-54 ,Female ,1:06:08,0:08:41,3:36:10,0:05:59,2:39:47
FIN,Farouk SALLEH (#1871),7:08:01,40-44 ,Male ,0:43:57,0:10:23,3:29:12,0:05:59,2:38:28
FIN,Nobuyuki NAKAJIMA (#2335),7:14:53,50-54 ,Male ,0:49:24,0:09:07,3:22:41,0:05:58,2:47:41
FIN,Mohd Fadly HASHIM (#1700),6:38:04,35-39 ,Male ,0:40:23,0:09:17,3:06:33,0:05:54,2:35:56
FIN,Nam NGUYEN PHUONG (#1600),8:22:56,30-34 ,Male ,0:49:22,0:09:08,4:06:31,0:05:53,3:12:00
FIN,Koda Safolu (#2325),7:26:43,50-54 ,Male ,0:40:01,0:07:52,3:20:51,0:05:53,3:12:04
FIN,Bona AKHMAD FITHRAH (#1976),7:45:14,40-44 ,Male ,0:44:40,0:07:09,3:30:18,0:05:52,3:17:13
FIN,Nur Fadhil HUSSIN (#1447),8:01:15,25-29 ,Male ,0:41:51,0:06:44,3:29:41,0:05:51,3:37:05
FIN,Adrian WHATLEY (#2186),7:26:08,45-49 ,Male ,0:44:17,0:07:48,3:30:35,0:05:51,2:57:35
FIN,Euphemia THIEN (#2342),7:50:17,50-54 ,Female ,0:49:11,0:11:23,3:48:23,0:05:50,2:55:29
FIN,Sadhna ARYA (#2376),7:36:41,55-59 ,Female ,0:45:53,0:07:58,3:45:01,0:05:49,2:52:00
FIN,Nah ENG SENG (#2177),7:31:44,45-49 ,Male ,0:54:36,0:06:49,3:24:05,0:05:49,3:00:24
FIN,Yuiko NAWATA (#1632),8:28:47,30-34 ,Female ,0:58:44,0:10:09,3:59:09,0:05:48,3:14:55
FIN,Noriko HAYASHI (#2249),7:13:13,45-49 ,Female ,0:45:32,0:07:54,3:25:31,0:05:47,2:48:27
FIN,Chye Hoon SOON (#1847),6:57:02,35-39 ,Female ,0:52:43,0:09:17,3:23:27,0:05:46,2:25:47
FIN,Daniel DE LA PAZ (#1735),7:59:17,35-39 ,Male ,0:39:30,0:06:55,3:43:42,0:05:46,3:23:21
FIN,Aji RACHMAN (#1881),7:28:09,40-44 ,Male ,0:55:18,0:08:08,3:35:35,0:05:45,2:43:21
FIN,Tengku Ahmad Masirin TENGKU MAHMUD (#1668),7:25:57,35-39 ,Male ,0:51:28,0:07:58,3:23:25,0:05:43,2:57:22
FIN,Verania ANDRIA (#2047),8:21:50,40-44 ,Female ,0:51:14,0:10:02,3:55:20,0:05:41,3:19:32
FIN,Mathieu LAGALLE (#1551),6:53:23,30-34 ,Male ,0:33:52,0:04:15,4:20:18,0:05:39,1:49:16
FIN,Khajohnsak BHOCKSOMBUD (#1585),7:48:47,30-34 ,Male ,1:00:18,0:09:57,3:45:04,0:05:39,2:47:46
FIN,Albert YU (#1935),6:29:12,40-44 ,Male ,0:42:44,0:08:39,3:13:43,0:05:39,2:18:26
FIN,Marahu Moliheshi (#2395),7:42:34,60-64 ,Male ,0:53:30,0:07:50,3:29:48,0:05:37,3:05:47
FIN,Md Rodhi MD REJAB (#1556),7:18:43,30-34 ,Male ,0:40:35,0:07:19,3:23:54,0:05:36,3:01:17
FIN,Danie Arellano POHE (#2170),7:42:27,45-49 ,Male ,0:47:35,0:07:56,3:30:43,0:05:35,3:10:35
FIN,Vicky CARPENTER (#2404),7:19:14,65-69 ,Female ,0:53:47,0:06:19,3:29:21,0:05:33,2:44:11
FIN,Yu Zhen OOI (#1824),6:42:45,35-39 ,Female ,0:48:57,0:06:45,3:13:25,0:05:33,2:28:02
FIN,Yurbianto BASRI (#1995),6:38:45,40-44 ,Male ,0:44:21,0:05:28,3:36:58,0:05:32,2:06:25
FIN,Ban Long Dennis CHUA (#1526),6:37:25,30-34 ,Male ,0:46:50,0:06:15,3:07:35,0:05:31,2:31:11
FIN,Ignatius Dion RAFAEL (#1601),7:39:02,30-34 ,Male ,0:53:41,0:10:36,3:39:20,0:05:29,2:49:55
FIN,Ventus SITANGGANG (#2116),7:45:42,45-49 ,Male ,0:52:08,0:07:52,3:29:02,0:05:29,3:11:08
FIN,Boon Shin OOI (#1982),7:17:08,40-44 ,Male ,0:46:36,0:07:40,3:14:23,0:05:28,3:02:59
FIN,Teddy DANAS (#2293),7:15:17,50-54 ,Male ,0:56:59,0:07:37,3:21:39,0:05:28,2:43:32
FIN,Dr Sanjay JAISWAL (#2337),7:56:36,50-54 ,Male ,0:55:34,0:10:02,3:55:46,0:05:28,2:49:45
FIN,Yogesh DHANE (#1792),6:34:46,35-39 ,Male ,0:43:38,0:08:20,3:16:59,0:05:27,2:20:19
FIN,Tan CHIN HUANG (#1707),6:44:57,35-39 ,Male ,0:50:27,0:05:10,2:48:35,0:05:27,2:55:16
FIN,Anna MOSKOVSKAYA (#2045),8:06:49,40-44 ,Female ,0:49:59,0:05:53,3:57:44,0:05:27,3:07:44
FIN,Mohit ARORA (#1434),7:49:46,25-29 ,Male ,1:06:22,0:08:38,3:38:51,0:05:26,2:50:27
FIN,Chuan Seng CHONG (#1532),7:06:37,30-34 ,Male ,0:53:39,0:06:31,3:10:35,0:05:25,2:50:25
FIN,Ling Fong OOI (#1674),7:47:37,35-39 ,Male ,0:47:49,0:10:23,3:31:36,0:05:25,3:12:22
FIN,Raymond DHARMAWAN (#1989),6:34:52,40-44 ,Male ,0:49:02,0:05:46,2:59:14,0:05:25,2:35:22
FIN,Abdul Wahib SITUMORANG (#1910),8:06:20,40-44 ,Male ,0:44:35,0:07:19,3:43:30,0:05:23,3:25:32
FIN,Andre FERRAREZ BOUZADA RODRIGUES (#1455),7:14:13,25-29 ,Male ,0:44:16,0:06:53,3:26:15,0:05:23,2:51:24
FIN,Miho FURUYA (#2242),7:45:52,45-49 ,Female ,0:46:17,0:08:21,3:42:34,0:05:23,3:03:15
FIN,Michael KARTONO (#1787),6:33:09,35-39 ,Male ,0:46:37,0:04:44,3:10:43,0:05:22,2:25:40
FIN,Yong FOO KEN (#1883),6:36:28,40-44 ,Male ,0:50:43,0:07:18,3:00:46,0:05:22,2:32:17
FIN,Faizal ABDULLAH (#1709),7:43:04,35-39 ,Male ,0:58:11,0:10:47,3:17:54,0:05:22,3:10:48
FIN,Muhd Amry CHE ABU (#2090),8:12:35,45-49 ,Male ,0:51:29,0:09:37,3:44:43,0:05:22,3:21:22
FIN,Charles ROSS (#1936),6:28:03,40-44 ,Male ,0:44:30,0:08:54,2:55:10,0:05:21,2:34:05
FIN,Amano Akane (#1837),6:52:29,35-39 ,Female ,0:36:15,0:06:28,3:31:48,0:05:20,2:32:36
FIN,Khairul MIZAN (#1979),7:13:38,40-44 ,Male ,0:52:05,0:07:46,3:26:36,0:05:20,2:41:48
FIN,Gert CONRADIE (#2217),6:28:57,45-49 ,Male ,0:41:07,0:05:38,2:53:05,0:05:20,2:43:46
FIN,Mailan KIMSUAN (#1790),7:00:10,35-39 ,Male ,0:55:57,0:08:35,2:57:31,0:05:20,2:52:46
FIN,Wang Pun YIP (#1951),7:03:06,40-44 ,Male ,0:46:59,0:07:08,3:25:26,0:05:19,2:38:13
FIN,Luke STADDON (#1751),7:46:15,35-39 ,Male ,0:35:53,0:07:10,3:29:52,0:05:18,3:28:01
FIN,My NGUYEN (#1846),7:42:02,35-39 ,Female ,0:48:03,0:06:02,3:37:01,0:05:17,3:05:36
FIN,Mike RAMSAY (#2406),8:16:24,70-74 ,Male ,0:44:08,0:06:37,3:46:57,0:05:14,3:33:26
FIN,Yi Jun THUNG (#1429),7:03:13,25-29 ,Male ,0:40:36,0:06:46,3:07:31,0:05:14,3:03:03
FIN,Mulyadi BUDIYANTO (#2093),7:25:35,45-49 ,Male ,0:50:39,0:07:23,3:21:31,0:05:12,3:00:48
FIN,Kevin C H FOO (#1555),7:07:48,30-34 ,Male ,0:43:08,0:07:59,3:15:52,0:05:12,2:55:35
FIN,Norul Azuan MOHD ROBI (#1694),7:07:02,35-39 ,Male ,0:54:42,0:06:53,3:13:56,0:05:09,2:46:21
FIN,Bao Hiep NGUYEN PHUC (#1603),7:54:03,30-34 ,Male ,1:02:21,0:08:50,3:34:52,0:05:09,3:02:49
FIN,Wataru ISHIZAWA (#1466),7:09:40,25-29 ,Male ,0:49:39,0:08:28,3:15:55,0:05:09,2:50:28
FIN,Armanto HADJU (#2313),7:47:06,50-54 ,Male ,0:46:40,0:14:09,3:31:06,0:05:09,3:10:01
FIN,Nurwidiyantoro Catur PERMONO (#1977),7:42:45,40-44 ,Male ,0:56:41,0:07:39,3:44:02,0:05:07,2:49:13
FIN,Jose KHAROSTA (#1867),7:16:48,40-44 ,Male ,0:58:08,0:06:10,3:28:18,0:05:07,2:39:03
FIN,Sridhar VENKATARAMAN (#2392),7:15:28,60-64 ,Male ,0:47:09,0:07:26,3:56:05,0:05:07,2:19:39
FIN,Yunita RUSTIANDINI (#2073),8:20:05,40-44 ,Female ,1:00:48,0:10:28,4:05:57,0:05:07,2:57:44
FIN,Kevin FONG (#2010),6:43:47,40-44 ,Male ,0:47:40,0:10:14,3:19:20,0:05:06,2:21:25
FIN,Dominique RAVILY (#2310),6:40:52,50-54 ,Male ,0:37:00,0:06:23,3:03:44,0:05:05,2:48:38
FIN,Mei Ying ANG (#2054),7:25:29,40-44 ,Female ,0:50:55,0:06:58,3:21:50,0:05:05,3:00:39
FIN,Tze Wai FUNG (#2304),6:45:57,50-54 ,Male ,0:52:42,0:08:04,3:14:00,0:05:05,2:26:04
FIN,Andrea MRSA (#1492),7:01:46,25-29 ,Female ,0:31:31,0:07:06,3:21:56,0:05:04,2:56:07
FIN,Adi MULYADI (#1734),7:03:46,35-39 ,Male ,0:56:45,0:05:31,3:11:53,0:05:03,2:44:32
FIN,Giang LÊ (#1630),7:51:59,30-34 ,Male ,1:00:52,0:09:14,3:19:48,0:05:02,3:17:01
FIN,Scott TAN (#1702),7:11:40,35-39 ,Male ,0:40:42,0:09:34,3:11:08,0:05:02,3:05:12
FIN,Frans LUCK (#1610),8:17:01,30-34 ,Male ,0:55:13,0:09:14,4:10:25,0:05:02,2:57:05
FIN,Zaidi MOHAMAD (#2324),8:06:26,50-54 ,Male ,0:49:12,0:09:05,3:39:11,0:05:01,3:23:55
FIN,Josephine TEO (#1842),8:08:11,35-39 ,Female ,0:48:02,0:09:04,3:50:48,0:05:00,3:15:15
FIN,Nurhidayah BASRI (#1635),7:13:43,30-34 ,Female ,0:47:49,0:09:11,3:31:48,0:05:00,2:39:52
FIN,Aidil Arif NASUTION (#1991),6:57:10,40-44 ,Male ,0:54:22,0:05:55,3:13:28,0:04:58,2:38:24
FIN,Phok Wee HENG (#2102),7:03:38,45-49 ,Male ,0:36:26,0:09:58,3:25:08,0:04:58,2:47:06
FIN,Ameen SAMAKOM (#1698),7:20:51,35-39 ,Male ,0:52:35,0:10:43,3:28:02,0:04:58,2:44:31
FIN,Nor Junaida JUSOF (#1825),7:14:16,35-39 ,Female ,0:46:42,0:07:50,3:23:59,0:04:57,2:50:46
FIN,Ahmad Radzuri ISMAIL (#1705),7:14:13,35-39 ,Male ,0:49:55,0:07:22,3:21:13,0:04:57,2:50:44
FIN,Joseph Eng Hian CHUA (#2367),7:28:40,55-59 ,Male ,0:47:54,0:07:05,3:00:08,0:04:56,3:28:35
FIN,Agung TRIHARYADI (#2203),7:47:35,45-49 ,Male ,0:45:01,0:05:56,3:40:54,0:04:55,3:10:46
FIN,Faizal ALI (#1912),8:25:53,40-44 ,Male ,0:49:46,0:08:47,3:51:03,0:04:55,3:31:20
